Отметка времени,"Какая у Вас профессия, должность в Вашей компании?",1)Что Вы видите на картинке?,2)Что Вы видите на картинке?,3)Что Вы видите на картинке?,4)Что Вы видите на картинке?,5)Что Вы видите на картинке?,6)Что Вы видите на картинке? (необязательный вопрос),7)Что Вы видите на картинке,8)Что Вы видите на картинке?,9)Что Вы видите на картинке? (необязательный вопрос),10)Что Вы видите на картинке?,"Если У Вас где-то выбран ответ ""иное"", то напишите номер картинки и ваш ответ сюда",Любите решать задачи по математике?,Стартап или крупная компания?,Что вам больше нравится?,Вы хорошо рисуете?,Красота или функциональность?,Учить или учиться?,Игры или социальные сети?,Руководить или действовать по готовому плану?,Эгоизм или альтруизм?,Как вы отдыхаете?,Интересная работа или хорошая зарплата?
12.12.2018 15:06:30,Другое,Иное,Молящийся Человек,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Иное,Четырехлапое животное,Иное,Краб,"1. демон с крыльями, 7. два зайца, 8 олени","Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Хочу быть начальником,Главное в жизни - друзья!,С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:07:26,Другое,Моль,Молящийся Человек,"Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,Иное,Иное,Иное,Иное,Иное,,Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Профессиональный художник,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:09:34,Другое,Бабочки,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Монстр,Летучая мышь,Иное,Иное,Четырехлапое животное,"Что-то, связанное со злом",Краб,,Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:13:33,Другое,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,Иное,Иное,Иное,Иное,Иное,,Очень!,Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:13:47,Другое,Лицо животного,Иное,Зеркало с одним человеком,Монстр,Летучая мышь,Шкура животного,Головы детей,Бабочка,"Что-то, связанное с человеком",Лобстер,"2 - два веселых хомяка, дающих ""пять""","Умею, но не люблю",Свобода и стартап,Работать над проектами,Совсем не умею рисовать,Функциональность,Люблю учить!,"Естественно, соцсети!",Будем все решать вместе,Главное в жизни - друзья!,За компьютером,Без денег никуда
12.12.2018 15:14:21,Другое,Иное,Иное,"Два разных человека, взаимодействующих друг с другом",Монстр,Бабочки,Иное,Иное,Иное,"Что-то, связанное с человеком",Иное,"1 - жук , 2 - сначала - распластанный трупик крысы, потом - лицо с красными глазами в черной маске, 6 - бобер-шаман, 7 - два кричащх друг на друга зайца, 8 - две пантерки, идущие зеркально друг другу, 10 - карта континентов и череп доисторического животного вверху","Умею, но не люблю",Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
12.12.2018 15:15:48,Другое,Лицо животного,Иное,"Два разных человека, взаимодействующих друг с другом",Монстр,Моль,Шкура животного,Иное,Иное,Иное,Краб,,Я гуманитарий,"Главное, чтобы было интересно",Создавать новые продукты,Профессиональный художник,"Важно и то, и другое",Люблю учить!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,Хочу заниматься интересным делом
12.12.2018 15:18:27,Другое,Моль,"Что-то, связанное с сексуальными вещами",Иное,Шкура монстра,Моль,Шкура животного,Иное,Иное,Иное,Иное,Париж,Я гуманитарий,"Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Хочу быть начальником,Каждый сам за себя,С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:26:16,Другое,Иное,Иное,"Два разных человека, взаимодействующих друг с другом",Шкура монстра,Бабочки,Иное,Иное,Иное,Иное,Краб,1 насекомое проводящее ритуал вызова.2 посмертная маска человека. 6 истребитель будущего. 7 девушка позирует в зеркале 8 две крысы 9 два слона,"Умею, но не люблю",Стабильность и серьезная компания,Создавать новые продукты,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:26:56,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Моль,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Краб,,Очень!,"Главное, чтобы было интересно",Решать задачи,Рисую для себя,"Важно и то, и другое",Люблю учить!,Работа важнее!,Будем все решать вместе,Главное в жизни - друзья!,С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:27:42,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Шкура животного,Головы детей,Четырехлапое животное,"Что-то, связанное со злом",Краб,,Очень!,"Главное, чтобы было интересно",Решать задачи,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!","Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:30:28,Другое,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Иное,Бабочки,Иное,Головы женщин,Иное,Иное,Иное,"2. Два Санта- Клауса здороваются
4. Голова животного с рогами
6. Взлетающая бабочка
8. Сырые отпечатки от тела женщины
9. Два насекомых с усами
10. Куча разных микробов",Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!","Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:34:59,Другое,Моль,Медведь,Зеркало с одним человеком,Иное,Летучая мышь,Шкура животного,Головы женщин,Иное,Иное,Краб,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Хочу быть начальником,"Думаю о себе, но не забываю о других",В шумной веселой компании,Хочу заниматься интересным делом
12.12.2018 15:38:19,Другое,Иное,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Шкура монстра,Иное,,Головы детей,Четырехлапое животное,Иное,Краб,человек с поднятой одной рукой,Очень!,Стабильность и серьезная компания,Решать задачи,Рисую для себя,"Важно и то, и другое","Хватит учебы, хочу работать",Работа важнее!,"Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 15:40:18,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Шкура монстра,Моль,Шкура животного,Поцелуй,Четырехлапое животное,"Что-то, связанное со злом",Лобстер,,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,Каждый сам за себя,В шумной веселой компании,Хочу заниматься интересным делом
12.12.2018 15:40:36,Другое,Летучая мышь,Иное,Иное,Большое животное,Моль,Иное,Иное,Иное,"Что-то, связанное с человеком",Лобстер,2: легкие,Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:43:15,Другое,Иное,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,Иное,Головы женщин,Четырехлапое животное,Иное,Иное,"1. Шпиц;
6. Утка;
9. Морской конек;
10. Эльфивая башня",Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,Главное в жизни - друзья!,В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:45:43,Другое,Иное,Иное,Иное,Иное,Моль,Иное,Иное,Четырехлапое животное,Иное,Иное,"1) летающий жук
2) 2 поросенка
3) муха
4) дракон
6) дорога
7) маски
9) корова
10) елисейские поля",Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:49:41,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Иное,Иное,Иное,,Гусениц,,Очень!,Свобода и стартап,Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!","Пусть четко скажут, что делать",Каждый сам за себя,В шумной веселой компании,Хочу заниматься интересным делом
12.12.2018 15:52:57,Другое,Моль,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Иное,Бабочки,Иное,Иное,Четырехлапое животное,Иное,Лобстер,"4-летучая мышь, 6-павлин, 7-человек, 9-олени","Умею, но не люблю",Свобода и стартап,Работать над проектами,Рисую для себя,Функциональность,Люблю учить!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 16:00:58,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Моль,Шкура животного,Иное,Иное,"Что-то, связанное со злом",Иное,,Очень!,"Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать","Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 16:18:39,Другое,Иное,Иное,"Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,Иное,Головы женщин,Четырехлапое животное,Иное,Иное,,Очень!,Стабильность и серьезная компания,Решать задачи,Рисую для себя,Функциональность,Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 16:25:57,Другое,Бабочки,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Головы женщин,Бабочка,"Что-то, связанное с человеком",Гусениц,"1: Кастующий визард
4: Медведь дрыхнет на спине раскинув лапы
5: Заяц ведёт 2-х бухих тёток домой
6: Белка из ""ледникового периода"" негодует
8: Две кошки куда-то карабкаются
9: Ваза
10: Два английских полисмена разыгрывают вбрасывание в хоккее",Очень!,Стабильность и серьезная компания,Решать задачи,Рисую для себя,"Важно и то, и другое","Хватит учебы, хочу работать",Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 16:42:25,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Рисую для себя,Функциональность,Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,Хочу заниматься интересным делом
12.12.2018 16:43:31,Другое,Летучая мышь,Слон,Зеркало с одним человеком,Большое животное,Бабочки,,Поцелуй,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,Я гуманитарий,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Люблю учить!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 16:45:58,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Моль,,Головы детей,Четырехлапое животное,,Паук,,Очень!,Стабильность и серьезная компания,Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
12.12.2018 16:47:55,Другое,Моль,"Что-то, связанное с сексуальными вещами","Два разных человека, взаимодействующих друг с другом",Монстр,Моль,Шкура животного,Головы детей,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,"Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 16:49:56,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Поцелуй,Бабочка,"Что-то, связанное с человеком",Лобстер,,Очень!,Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 16:55:43,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Шкура животного,Поцелуй,Моль,"Что-то, связанное с человеком",Гусениц,,Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,Функциональность,Люблю учить!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 17:13:23,Другое,Бабочки,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Шкура животного,Моль,Шкура животного,Головы детей,Бабочка,"Что-то, связанное с человеком",Лобстер,,Очень!,"Главное, чтобы было интересно",Работать над проектами,Профессиональный художник,Красота,Люблю учить!,Работа важнее!,Будем все решать вместе,Главное в жизни - друзья!,С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 17:29:14,Другое,Моль,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Шкура животного,Поцелуй,Четырехлапое животное,"Что-то, связанное с человеком",Гусениц,,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!","Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 17:30:14,Другое,Летучая мышь,Медведь,Зеркало с одним человеком,Большое животное,Моль,Шкура животного,Головы детей,Четырехлапое животное,"Что-то, связанное с человеком",Гусениц,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,Функциональность,Люблю учить!,"Конечно, игры!",Будем все решать вместе,Главное в жизни - друзья!,За компьютером,"И то, и то, и побольше"
12.12.2018 17:30:24,Другое,Летучая мышь,Собака,"Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,Хочу заниматься интересным делом
12.12.2018 17:31:45,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Монстр,Бабочки,,Головы детей,Четырехлапое животное,"Что-то, связанное с человеком",Гусениц,6 Паук,Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 17:36:32,Другое,Лицо животного,Молящийся Человек,"Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,,Головы женщин,Четырехлапое животное,"Что-то, связанное с человеком",Лобстер,,Очень!,"Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 17:38:04,Другое,Летучая мышь,Слон,"Два разных человека, взаимодействующих друг с другом",Монстр,Бабочки,Шкура животного,Головы детей,Четырехлапое животное,"Что-то, связанное со злом",Лобстер,system administrator,Очень!,"Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 17:45:17,Другое,Летучая мышь,Медведь,Зеркало с одним человеком,Шкура животного,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Решать задачи,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,Главное в жизни - друзья!,С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 17:48:34,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Большое животное,Бабочки,Шкура животного,Поцелуй,Моль,"Что-то, связанное со злом",Лобстер,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,Хочу заниматься интересным делом
12.12.2018 17:48:59,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Шкура монстра,Летучая мышь,,Головы женщин,Четырехлапое животное,,Гусениц,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 17:56:20,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Моль,Шкура животного,Головы женщин,Четырехлапое животное,,Лобстер,"Профессия - Fullstack, 1 - Люди, 2 - два разных человека, 3 - Пиджак и бабочка, 7 - два пальца вверх, 8 - Карусель, 9 - Фонтан, 10 - Много морских животных","Умею, но не люблю",Свобода и стартап,Создавать новые продукты,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 18:05:06,Другое,Бабочки,Медведь,"Два разных человека, взаимодействующих друг с другом",Большое животное,Моль,,Поцелуй,Бабочка,,Лобстер,,"Умею, но не люблю",Свобода и стартап,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Люблю учить!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 18:18:47,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Монстр,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,,Лобстер,,Очень!,Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,"Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
12.12.2018 18:23:50,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Шкура монстра,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Лобстер,,Очень!,"Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Люблю учить!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 18:24:21,Другое,Летучая мышь,Молящийся Человек,Зеркало с одним человеком,Шкура животного,Летучая мышь,,Головы женщин,Четырехлапое животное,,Морда,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,Функциональность,Люблю учить!,"Конечно, игры!",Хочу быть начальником,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
